sample_unit_id,State1,State1_Percent,State2,State2_Percent,State3,State3_Percent
54233,California,100.00,NA,0.00,NA,0.00
86138,California,100.00,NA,0.00,NA,0.00
109786,Oregon,100.00,NA,0.00,NA,0.00
51896,California,100.00,NA,0.00,NA,0.00
99117,Oregon,100.00,NA,0.00,NA,0.00
95473,Idaho,100.00,NA,0.00,NA,0.00
102361,Oregon,100.00,NA,0.00,NA,0.00
122291,Washington,100.00,NA,0.00,NA,0.00
73177,California,100.00,NA,0.00,NA,0.00
106558,Oregon,100.00,NA,0.00,NA,0.00
66246,California,100.00,NA,0.00,NA,0.00
107432,Oregon,100.00,NA,0.00,NA,0.00
97298,Idaho,100.00,NA,0.00,NA,0.00
91688,California,100.00,NA,0.00,NA,0.00
65306,California,100.00,NA,0.00,NA,0.00
122255,Washington,42.39,NA,0.00,NA,0.00
105658,Idaho,100.00,NA,0.00,NA,0.00
88454,California,100.00,NA,0.00,NA,0.00
108434,Idaho,100.00,NA,0.00,NA,0.00
94526,Idaho,100.00,NA,0.00,NA,0.00
89839,California,100.00,NA,0.00,NA,0.00
130595,Washington,100.00,NA,0.00,NA,0.00
123688,Washington,100.00,NA,0.00,NA,0.00
54222,California,100.00,NA,0.00,NA,0.00
82898,California,100.00,NA,0.00,NA,0.00
114413,Oregon,100.00,NA,0.00,NA,0.00
97730,Oregon,100.00,NA,0.00,NA,0.00
97335,Idaho,100.00,NA,0.00,NA,0.00
113007,Oregon,100.00,NA,0.00,NA,0.00
117652,Washington,100.00,NA,0.00,NA,0.00
95853,California,100.00,NA,0.00,NA,0.00
104253,Idaho,100.00,NA,0.00,NA,0.00
68095,California,100.00,NA,0.00,NA,0.00
95452,Idaho,100.00,NA,0.00,NA,0.00
64852,California,100.00,NA,0.00,NA,0.00
119038,Washington,100.00,NA,0.00,NA,0.00
101511,Idaho,100.00,NA,0.00,NA,0.00
104732,Idaho,100.00,NA,0.00,NA,0.00
55161,California,100.00,NA,0.00,NA,0.00
116763,Idaho,100.00,NA,0.00,NA,0.00
93550,California,100.00,NA,0.00,NA,0.00
114387,Oregon,100.00,NA,0.00,NA,0.00
119062,Washington,100.00,NA,0.00,NA,0.00
58864,California,100.00,NA,0.00,NA,0.00
103310,Oregon,100.00,NA,0.00,NA,0.00
96812,Oregon,100.00,NA,0.00,NA,0.00
100090,Idaho,100.00,NA,0.00,NA,0.00
110228,Oregon,100.00,NA,0.00,NA,0.00
130151,Washington,100.00,NA,0.00,NA,0.00
66262,California,100.00,NA,0.00,NA,0.00
113962,Oregon,100.00,NA,0.00,NA,0.00
72731,California,100.00,NA,0.00,NA,0.00
125970,Washington,100.00,NA,0.00,NA,0.00
95893,Oregon,100.00,NA,0.00,NA,0.00
123703,Idaho,100.00,NA,0.00,NA,0.00
87047,California,100.00,NA,0.00,NA,0.00
58825,California,100.00,NA,0.00,NA,0.00
68071,California,10.11,NA,0.00,NA,0.00
120426,Washington,100.00,NA,0.00,NA,0.00
103811,Idaho,100.00,NA,0.00,NA,0.00
52846,California,100.00,NA,0.00,NA,0.00
73189,California,100.00,NA,0.00,NA,0.00
119535,Idaho,100.00,NA,0.00,NA,0.00
57895,California,9.61,NA,0.00,NA,0.00
95862,California,100.00,NA,0.00,NA,0.00
93629,Idaho,100.00,NA,0.00,NA,0.00
114381,Oregon,100.00,NA,0.00,NA,0.00
116287,Washington,100.00,NA,0.00,NA,0.00
63948,California,100.00,NA,0.00,NA,0.00
105612,Oregon,100.00,NA,0.00,NA,0.00
89858,California,100.00,NA,0.00,NA,0.00
97323,Idaho,100.00,NA,0.00,NA,0.00
106051,Oregon,100.00,NA,0.00,NA,0.00
126915,Washington,100.00,NA,0.00,NA,0.00
89834,California,100.00,NA,0.00,NA,0.00
114902,Idaho,100.00,NA,0.00,NA,0.00
72712,California,100.00,NA,0.00,NA,0.00
130137,Washington,100.00,NA,0.00,NA,0.00
110741,Idaho,100.00,NA,0.00,NA,0.00
47288,California,100.00,NA,0.00,NA,0.00
99133,Oregon,100.00,NA,0.00,NA,0.00
75942,California,100.00,NA,0.00,NA,0.00
60229,California,100.00,NA,0.00,NA,0.00
92219,Idaho,99.57,Nevada,0.43,NA,0.00
57010,California,100.00,NA,0.00,NA,0.00
80593,California,100.00,NA,0.00,NA,0.00
115811,Washington,100.00,NA,0.00,NA,0.00
55135,California,100.00,NA,0.00,NA,0.00
94940,California,100.00,NA,0.00,NA,0.00
99191,Idaho,100.00,NA,0.00,NA,0.00
107456,Oregon,100.00,NA,0.00,NA,0.00
118586,Washington,100.00,NA,0.00,NA,0.00
74569,California,100.00,NA,0.00,NA,0.00
105167,Oregon,100.00,NA,0.00,NA,0.00
104201,Oregon,100.00,NA,0.00,NA,0.00
99619,Idaho,100.00,NA,0.00,NA,0.00
93997,California,100.00,NA,0.00,NA,0.00
70401,California,100.00,NA,0.00,NA,0.00
117623,Oregon,85.86,NA,0.00,NA,0.00
113989,Idaho,100.00,NA,0.00,NA,0.00
49594,California,100.00,NA,0.00,NA,0.00
118097,Washington,100.00,NA,0.00,NA,0.00
104255,Idaho,100.00,NA,0.00,NA,0.00
52809,California,9.22,NA,0.00,NA,0.00
88462,California,100.00,NA,0.00,NA,0.00
93153,Idaho,100.00,NA,0.00,NA,0.00
127353,Washington,100.00,NA,0.00,NA,0.00
124152,Washington,100.00,NA,0.00,NA,0.00
52836,California,100.00,NA,0.00,NA,0.00
113020,Oregon,100.00,NA,0.00,NA,0.00
101443,Oregon,100.00,NA,0.00,NA,0.00
95944,Idaho,100.00,NA,0.00,NA,0.00
114858,Oregon,100.00,NA,0.00,NA,0.00
118577,Washington,100.00,NA,0.00,NA,0.00
94928,California,100.00,NA,0.00,NA,0.00
110723,Oregon,100.00,NA,0.00,NA,0.00
67179,California,100.00,NA,0.00,NA,0.00
103261,Oregon,100.00,NA,0.00,NA,0.00
94994,Idaho,100.00,NA,0.00,NA,0.00
80108,California,100.00,NA,0.00,NA,0.00
61608,California,100.00,NA,0.00,NA,0.00
131531,Washington,100.00,NA,0.00,NA,0.00
119035,Washington,100.00,NA,0.00,NA,0.00
99195,Idaho,100.00,NA,0.00,NA,0.00
57439,California,100.00,NA,0.00,NA,0.00
92619,California,100.00,NA,0.00,NA,0.00
103365,Idaho,65.15,Montana,34.85,NA,0.00
90395,Idaho,100.00,NA,0.00,NA,0.00
109287,Oregon,100.00,NA,0.00,NA,0.00
117207,Washington,100.00,NA,0.00,NA,0.00
61173,California,100.00,NA,0.00,NA,0.00
107937,Oregon,100.00,NA,0.00,NA,0.00
97778,Idaho,100.00,NA,0.00,NA,0.00
109771,Oregon,100.00,NA,0.00,NA,0.00
130158,Washington,100.00,NA,0.00,NA,0.00
112585,Oregon,98.22,Idaho,1.78,NA,0.00
69486,California,100.00,NA,0.00,NA,0.00
130146,Washington,100.00,NA,0.00,NA,0.00
49598,California,100.00,NA,0.00,NA,0.00
95437,Oregon,100.00,NA,0.00,NA,0.00
86133,California,100.00,NA,0.00,NA,0.00
63467,California,100.00,NA,0.00,NA,0.00
122273,Washington,100.00,NA,0.00,NA,0.00
107048,Idaho,100.00,NA,0.00,NA,0.00
52853,California,55.08,Arizona,44.92,NA,0.00
75042,California,100.00,NA,0.00,NA,0.00
122315,Idaho,100.00,NA,0.00,NA,0.00
56996,California,100.00,NA,0.00,NA,0.00
97253,California,100.00,NA,0.00,NA,0.00
94098,Idaho,100.00,NA,0.00,NA,0.00
104684,Oregon,100.00,NA,0.00,NA,0.00
116290,Idaho,100.00,NA,0.00,NA,0.00
59315,California,100.00,NA,0.00,NA,0.00
79665,California,100.00,NA,0.00,NA,0.00
108420,Idaho,100.00,NA,0.00,NA,0.00
